category,wayback_timestamp,original_url,wayback_download_url,suggested_filename,notes
interior,20160527130324,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/the_desk_and_the_north.thumbnail.jpg,https://web.archive.org/web/20160527130324id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/the_desk_and_the_north.thumbnail.jpg,the_desk_and_the_north.thumbnail.jpg,Lodge room interior: desk/north
interior,20150826033638,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/the_lights.thumbnail.jpg,https://web.archive.org/web/20150826033638id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/the_lights.thumbnail.jpg,the_lights.thumbnail.jpg,Lodge room interior: lighting
interior,20160527180722,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/the_south.thumbnail.jpg,https://web.archive.org/web/20160527180722id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/the_south.thumbnail.jpg,the_south.thumbnail.jpg,Lodge room interior: south
interior,20150826073212,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/the_west.thumbnail.jpg,https://web.archive.org/web/20150826073212id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/the_west.thumbnail.jpg,the_west.thumbnail.jpg,Lodge room interior: west
interior,20150826071225,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/the_worshipful_master.thumbnail.jpg,https://web.archive.org/web/20150826071225id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/the_worshipful_master.thumbnail.jpg,the_worshipful_master.thumbnail.jpg,Lodge room / Worshipful Master's station
event,20150826071214,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/visiting_from_the_valley.thumbnail.jpg,https://web.archive.org/web/20150826071214id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/visiting_from_the_valley.thumbnail.jpg,visiting_from_the_valley.thumbnail.jpg,Visitation photo
community,20150826010422,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-1b.thumbnail.jpg,https://web.archive.org/web/20150826010422id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-1b.thumbnail.jpg,wc_parade-1b.thumbnail.jpg,West Carleton parade
community,20150826010352,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-2.thumbnail.jpg,https://web.archive.org/web/20150826010352id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-2.thumbnail.jpg,wc_parade-2.thumbnail.jpg,West Carleton parade
community,20150826010427,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-3.thumbnail.jpg,https://web.archive.org/web/20150826010427id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-3.thumbnail.jpg,wc_parade-3.thumbnail.jpg,West Carleton parade
community,20150826005813,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-4.thumbnail.jpg,https://web.archive.org/web/20150826005813id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/wc_parade-4.thumbnail.jpg,wc_parade-4.thumbnail.jpg,West Carleton parade
